iter	Passed	Remaining
0	11	11826
1	13	6819
2	15	5288
3	17	4234
4	18	3602
5	19	3273
6	21	2981
7	22	2754
8	23	2550
9	24	2386
10	26	2342
11	26	2220
12	28	2158
13	29	2111
14	30	2032
15	32	1997
16	33	1964
17	35	1935
18	37	1914
19	38	1899
20	40	1866
21	41	1866
22	43	1834
23	44	1818
24	45	1783
25	46	1744
26	47	1717
27	48	1692
28	50	1693
29	51	1672
30	53	1679
31	54	1661
32	56	1658
33	58	1658
34	60	1655
35	61	1656
36	63	1660
37	65	1662
38	67	1655
39	68	1654
40	70	1644
41	72	1646
42	73	1627
43	75	1630
44	76	1633
45	78	1631
46	79	1611
47	80	1600
48	81	1587
49	83	1584
50	85	1588
51	88	1616
52	90	1621
53	94	1649
54	98	1693
55	102	1732
56	106	1765
57	110	1798
58	114	1829
59	118	1856
60	121	1875
61	125	1892
62	128	1910
63	132	1931
64	135	1952
65	138	1958
66	141	1965
67	145	1988
68	148	2006
69	150	1995
70	153	2008
71	155	2000
72	158	2012
73	161	2025
74	165	2038
75	168	2050
76	170	2047
77	173	2055
78	177	2072
79	179	2068
80	183	2086
81	187	2101
82	191	2115
83	194	2125
84	198	2134
85	201	2146
86	206	2163
87	209	2174
88	213	2183
89	216	2193
90	219	2192
91	223	2202
92	226	2212
93	230	2222
94	235	2241
95	237	2238
96	241	2248
97	244	2254
98	249	2270
99	252	2269
100	255	2277
101	260	2290
102	265	2308
103	268	2315
104	272	2323
105	278	2350
106	283	2364
107	287	2376
108	297	2435
109	302	2445
110	305	2446
111	309	2456
112	313	2462
113	318	2477
114	323	2493
115	327	2496
116	331	2501
117	334	2503
118	340	2518
119	342	2513
120	348	2529
121	354	2551
122	358	2555
123	360	2545
124	362	2535
125	365	2536
126	369	2539
127	373	2542
128	376	2544
129	378	2533
130	382	2537
131	386	2540
132	389	2540
133	393	2542
134	397	2545
135	401	2549
136	405	2551
137	409	2557
138	413	2561
139	417	2566
140	435	2652
141	439	2655
142	445	2672
143	449	2672
144	451	2662
145	455	2662
146	459	2668
147	464	2672
148	468	2675
149	471	2672
150	476	2677
151	480	2679
152	485	2686
153	525	2884
154	530	2893
155	535	2899
156	540	2903
157	547	2919
158	556	2943
159	569	2990
160	575	2999
161	580	3002
162	583	2994
163	587	2995
164	602	3048
165	607	3050
166	612	3054
167	635	3146
168	642	3160
169	653	3193
170	658	3190
171	663	3193
172	670	3203
173	673	3197
174	676	3190
175	679	3182
176	683	3176
177	686	3170
178	689	3164
179	692	3156
180	695	3148
181	699	3142
182	702	3136
183	706	3133
184	710	3130
185	713	3124
186	716	3116
187	719	3108
188	722	3100
189	725	3093
190	727	3082
191	731	3078
192	734	3072
193	737	3065
194	741	3060
195	745	3056
196	748	3049
197	751	3042
198	754	3035
199	756	3027
200	760	3024
201	763	3017
202	767	3011
203	770	3006
204	773	2999
205	776	2992
206	778	2983
207	782	2977
208	785	2971
209	788	2967
210	792	2962
211	796	2958
212	799	2953
213	802	2948
214	806	2945
215	809	2938
216	812	2932
217	815	2925
218	819	2921
219	822	2917
220	825	2910
221	829	2906
222	832	2900
223	835	2894
224	838	2888
225	841	2882
226	844	2875
227	847	2869
228	850	2864
229	854	2859
230	857	2853
231	860	2849
232	865	2848
233	869	2845
234	874	2847
235	878	2844
236	882	2841
237	886	2837
238	892	2842
239	897	2842
240	901	2838
241	904	2834
242	908	2828
243	911	2823
244	914	2817
245	917	2813
246	921	2808
247	923	2800
248	926	2793
249	927	2782
250	930	2777
251	932	2767
252	936	2765
253	940	2760
254	943	2755
255	946	2749
256	949	2744
257	952	2740
258	955	2734
259	958	2728
260	961	2722
261	964	2716
262	967	2711
263	970	2706
264	973	2700
265	976	2695
266	980	2690
267	983	2685
268	985	2679
269	988	2672
270	991	2666
271	994	2662
272	998	2659
273	1002	2655
274	1005	2650
275	1007	2642
276	1009	2635
277	1012	2630
278	1015	2624
279	1018	2619
280	1021	2613
281	1024	2608
282	1027	2602
283	1030	2596
284	1033	2591
285	1036	2588
286	1038	2580
287	1040	2573
288	1043	2568
289	1045	2559
290	1048	2554
291	1051	2549
292	1054	2544
293	1057	2539
294	1060	2534
295	1063	2530
296	1065	2522
297	1069	2518
298	1072	2514
299	1075	2508
300	1078	2503
301	1081	2498
302	1083	2493
303	1087	2489
304	1090	2484
305	1092	2477
306	1095	2473
307	1097	2465
308	1099	2457
309	1101	2451
310	1103	2445
311	1105	2438
312	1107	2430
313	1109	2423
314	1111	2416
315	1114	2412
316	1117	2407
317	1120	2402
