iter	RMSE
0	0.9024511918
1	0.8612200927
2	0.8423575339
3	0.8270447375
4	0.818955004
5	0.8141013943
6	0.8104051012
7	0.8071187216
8	0.8024306231
9	0.8003095627
10	0.7984997213
11	0.7962566008
12	0.7938779671
13	0.7916626454
14	0.7901310295
15	0.7891364817
16	0.787019918
17	0.7859799814
18	0.785016366
19	0.7843603583
20	0.7832724689
21	0.7819284415
22	0.7812982225
23	0.7802364419
24	0.7786841757
25	0.7771850775
26	0.7757669619
27	0.7741039997
28	0.7729317094
29	0.7718623262
30	0.7705268038
31	0.7692197888
32	0.7681142415
33	0.7670673507
34	0.7664415163
35	0.7648877186
36	0.7629491147
37	0.7613176933
38	0.760158958
39	0.7598014136
40	0.7583827217
41	0.757578134
42	0.7561764105
43	0.7544391234
44	0.7531013847
45	0.7521878907
46	0.7509127373
47	0.7504598243
48	0.7495372896
49	0.748710811
50	0.7479214953
51	0.7465489584
52	0.7454542576
53	0.7445863031
54	0.7438493677
55	0.7431035279
56	0.7419822594
57	0.740876561
58	0.7398969654
59	0.7390765151
60	0.7379095992
61	0.736580858
62	0.7357322911
63	0.7343186863
64	0.7333012969
65	0.7326284478
66	0.7321045124
67	0.7309670797
68	0.7302582979
69	0.7292328534
70	0.7284443928
71	0.7274672184
72	0.7267394398
73	0.7262234331
74	0.7251183932
75	0.7241158451
76	0.7232313164
77	0.7217839785
78	0.7212316428
79	0.7200809989
80	0.7192020664
81	0.7186896655
82	0.7182544068
83	0.7176771902
84	0.7166886446
85	0.7160522079
86	0.7151454925
87	0.7145214504
88	0.7132709768
89	0.7122462974
90	0.7117009782
91	0.711000222
92	0.709791882
93	0.7095416868
94	0.7086857672
95	0.7080442197
96	0.7075692617
97	0.7068725562
98	0.7058286329
99	0.7053762849
