iter	Passed	Remaining
0	165	16372
1	170	8358
2	176	5691
3	181	4351
4	187	3555
5	192	3015
6	197	2622
7	204	2349
8	210	2124
9	215	1941
10	221	1795
11	227	1670
12	234	1569
13	240	1474
14	245	1392
15	251	1321
16	257	1257
17	264	1202
18	270	1152
19	277	1111
20	284	1069
21	290	1029
22	296	992
23	303	959
24	309	929
25	316	899
26	322	871
27	328	843
28	333	817
29	339	792
30	345	768
31	352	749
32	358	728
33	364	708
34	375	697
35	382	679
36	388	660
37	395	644
38	403	630
39	413	620
40	424	610
41	433	598
42	441	585
43	450	573
44	460	562
45	468	549
46	475	536
47	482	523
48	493	513
49	505	505
50	514	494
51	521	481
52	531	471
53	539	459
54	546	447
55	553	434
56	560	422
57	568	411
58	575	400
59	583	389
60	591	377
61	599	367
62	605	355
63	614	345
64	621	334
65	628	323
66	636	313
67	644	303
68	652	293
69	661	283
70	670	273
71	680	264
72	687	254
73	695	244
74	702	234
75	710	224
76	717	214
77	725	204
78	732	194
79	740	185
80	747	175
81	756	165
82	763	156
83	771	146
84	779	137
85	789	128
86	796	119
87	808	110
88	827	102
89	842	93
90	851	84
91	858	74
92	871	65
93	886	56
94	899	47
95	917	38
96	937	28
97	950	19
98	968	9
99	1026	0
