iter	RMSE
0	7.959349715
1	7.391722549
2	6.869357644
3	6.386695343
4	5.943040926
5	5.524458235
6	5.133851145
7	4.77944741
8	4.448029205
9	4.140906026
10	3.858877199
11	3.594285106
12	3.349074199
13	3.120793491
14	2.911646429
15	2.711966133
16	2.531251153
17	2.365735274
18	2.207420747
19	2.065508494
20	1.930619783
21	1.80619639
22	1.692096022
23	1.586754675
24	1.491360951
25	1.402595022
26	1.320981201
27	1.243967049
28	1.175273725
29	1.111145518
30	1.053289743
31	1.001035141
32	0.9518954602
33	0.9092173925
34	0.8675625205
35	0.8309387733
36	0.79677717
37	0.7667721295
38	0.7399596226
39	0.7145041544
40	0.6924620838
41	0.6721178547
42	0.6543448072
43	0.6374766442
44	0.6228876038
45	0.6103543849
46	0.5983617554
47	0.587824626
48	0.5782363366
49	0.5697263661
50	0.5620261291
51	0.5543504248
52	0.5474317895
53	0.5413101513
54	0.5355088008
55	0.5305499502
56	0.5257940362
57	0.5213446445
58	0.5170241623
59	0.5130051198
60	0.5093702712
61	0.5059683063
62	0.5025833403
63	0.4995224038
64	0.4968779777
65	0.4941426518
66	0.4915168062
67	0.488380041
68	0.4859110654
69	0.4836821399
70	0.4806621667
71	0.4783259098
72	0.475312236
73	0.4731074498
74	0.4713041791
75	0.469317509
76	0.4670910616
77	0.4645923698
78	0.4623625327
79	0.4606311197
80	0.4588250985
81	0.4573022829
82	0.4551046348
83	0.4537163819
84	0.4519036799
85	0.4498894961
86	0.448221301
87	0.4464698091
88	0.4448561591
89	0.4437384175
90	0.4422291973
91	0.4407944366
92	0.4394080548
93	0.4380467211
94	0.4369816779
95	0.4356814879
96	0.4345947235
97	0.43314179
98	0.4317353659
99	0.4302460871
100	0.4292356787
101	0.4284117262
102	0.427419195
103	0.4264279354
104	0.424603144
105	0.423254616
106	0.4226794669
107	0.4216733305
108	0.4206399774
109	0.4193894777
110	0.4176396533
111	0.4165934129
112	0.4153082139
113	0.4147970907
114	0.4133545764
115	0.4125044675
116	0.4114746001
117	0.4101817516
118	0.4088477652
119	0.4079649405
120	0.40694836
121	0.4061612669
122	0.4056724986
123	0.4046982701
124	0.4037692092
125	0.4028347289
126	0.4020028643
127	0.4013634395
128	0.4001851418
129	0.3995244421
130	0.3986588543
131	0.3974218196
132	0.3967985348
133	0.3962235974
134	0.3952153152
135	0.394732047
136	0.3936787381
137	0.3929178359
138	0.3923776256
139	0.3908067487
140	0.3894417437
141	0.3883839607
142	0.3875130654
143	0.3864659305
144	0.3858331559
145	0.3852473588
146	0.3843113461
147	0.3836419745
148	0.3830129556
149	0.3824460116
150	0.3816881359
151	0.3805546512
152	0.3795638297
153	0.3786165676
154	0.3777702359
155	0.376919045
156	0.3763249862
157	0.3754565313
158	0.3748951836
159	0.374393349
160	0.3732422868
161	0.3723998312
162	0.3714563673
163	0.370802629
164	0.3702193824
165	0.3697060307
166	0.369139189
167	0.3685227419
168	0.3680390036
169	0.3670503712
170	0.3662489875
171	0.3655445334
172	0.3648151565
173	0.364353251
174	0.3638992692
175	0.3633008904
176	0.3622037813
177	0.3614633907
178	0.3601086336
179	0.3596495416
180	0.3591925521
181	0.3585842321
182	0.3578714233
183	0.3573896271
184	0.3567985697
