iter	Passed	Remaining
0	150	150768
1	162	81260
2	180	59941
3	193	48060
4	208	41526
5	221	36629
6	239	33988
7	249	30900
8	264	29171
9	278	27620
10	295	26567
11	308	25402
12	323	24562
13	337	23778
14	350	23047
15	364	22424
16	379	21967
17	396	21640
18	408	21081
19	421	20656
20	434	20279
21	452	20115
22	469	19928
23	483	19673
24	499	19487
25	513	19218
26	527	19016
27	540	18766
28	556	18617
29	571	18462
30	588	18402
31	603	18256
32	618	18118
33	633	18007
34	649	17904
35	662	17727
36	675	17572
37	695	17609
38	707	17437
39	719	17277
40	733	17145
41	746	17029
42	760	16924
43	773	16804
44	789	16756
45	799	16578
46	812	16478
47	827	16406
48	840	16303
49	853	16207
50	867	16142
51	879	16042
52	891	15934
53	904	15846
54	916	15749
55	929	15671
56	943	15612
57	957	15555
58	970	15485
59	987	15475
60	1000	15394
61	1016	15384
62	1035	15399
63	1048	15339
64	1066	15346
65	1082	15316
66	1095	15256
67	1109	15201
68	1121	15126
69	1137	15109
70	1148	15021
71	1160	14962
72	1174	14919
73	1186	14844
74	1202	14824
75	1212	14743
76	1227	14716
77	1239	14646
78	1254	14629
79	1267	14576
80	1281	14538
81	1295	14497
82	1307	14450
83	1320	14396
84	1333	14356
85	1345	14303
86	1360	14281
87	1375	14253
88	1386	14195
89	1399	14151
90	1413	14115
91	1426	14075
92	1437	14016
93	1448	13961
94	1466	13973
95	1477	13911
96	1491	13884
97	1507	13871
98	1520	13838
99	1538	13846
100	1553	13829
101	1568	13807
102	1580	13762
103	1593	13730
104	1609	13719
105	1628	13735
106	1639	13681
107	1651	13642
108	1664	13602
109	1677	13576
110	1692	13551
111	1705	13522
112	1730	13582
113	1746	13570
114	1758	13535
115	1770	13495
116	1784	13469
117	1794	13416
118	1810	13401
119	1824	13379
120	1839	13360
121	1852	13335
122	1865	13301
123	1878	13270
124	1892	13248
125	1908	13241
126	1926	13244
127	1939	13215
128	1956	13207
129	1970	13187
130	1983	13158
131	1996	13129
132	2010	13104
133	2024	13085
134	2039	13066
135	2051	13030
136	2065	13008
137	2076	12967
138	2093	12965
139	2105	12935
140	2118	12909
